Total payé réel;Code pays de livraison
71.020000;FR
24.420000;FR
123.870000;FR
123.870000;FR
42.920000;FR
42.920000;FR
43.920000;FR
43.920000;FR
122.620000;FR
122.620000;FR
28.920000;FR
87.700000;FR
87.700000;FR
87.700000;FR
87.700000;FR
293.910000;FR
293.910000;FR
127.920000;BE
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
211.220000;AU
231.710000;BE
231.710000;BE
231.710000;BE
231.710000;BE
94.920000;FR
173.640000;FR
173.640000;FR
173.640000;FR
173.640000;FR
170.550000;FR
170.550000;FR
170.550000;FR
169.040000;FR
169.040000;FR
134.290000;FR
134.290000;FR
134.290000;FR
134.290000;FR
134.290000;FR
175.430000;FR
175.430000;FR
54.500000;FR
54.500000;FR
54.500000;FR
276.090000;FR
276.090000;FR
276.090000;FR
286.290000;FR
286.290000;FR
286.290000;FR
286.290000;FR
286.290000;FR
286.290000;FR
134.170000;FR
134.170000;FR
43.770000;FR
43.770000;FR
174.310000;GB
42.920000;FR
42.920000;FR
96.330000;FR
96.330000;FR
96.330000;FR
96.330000;FR
181.400000;GB
181.400000;GB
181.400000;GB
181.400000;GB
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
226.460000;GB
93.200000;FR
93.200000;FR
93.200000;FR
93.200000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
276.950000;FR
175.080000;FR
175.080000;FR
175.080000;FR
175.080000;FR
175.080000;FR
175.080000;FR
175.080000;FR
177.640000;FR
177.640000;FR
177.640000;FR
89.070000;FR
38.070000;FR
86.620000;FR
86.620000;FR
122.620000;FR
122.620000;FR
122.620000;FR
383.340000;FR
383.340000;FR
383.340000;FR
24.420000;FR
80.920000;BE
221.110000;FR
221.110000;FR
221.110000;FR
221.110000;FR
221.110000;FR
221.110000;FR
221.110000;FR
221.110000;FR
64.920000;FR
64.920000;FR
101.660000;CH
101.660000;CH
54.500000;FR
54.500000;FR
54.500000;FR
169.040000;FR
169.040000;FR
169.040000;FR
240.820000;RE
240.820000;RE
240.820000;RE
240.820000;RE
90.920000;FR
90.920000;FR
90.920000;FR
90.920000;FR
86.620000;BE
86.620000;BE
86.620000;BE
86.620000;BE
256.180000;FR
256.180000;FR
256.180000;FR
256.180000;FR
256.180000;FR
165.640000;FR
186.700000;FR
186.700000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
296.020000;FR
52.560000;FR
52.560000;FR
32.710000;FR
41.970000;FR
41.970000;FR
100.560000;FR
100.560000;FR
100.560000;FR
86.620000;FR
86.620000;FR
42.920000;FR
42.920000;FR
42.920000;FR
42.920000;FR
82.200000;RE
82.200000;RE
74.920000;FR
74.920000;FR
74.920000;FR
74.920000;FR
132.920000;FR
132.920000;FR
84.700000;FR
84.700000;FR
24.420000;FR
356.320000;IL
356.320000;IL
24.420000;FR
32.220000;FR
173.640000;FR
173.640000;FR
173.640000;FR
173.640000;FR
177.640000;FR
177.640000;FR
213.950000;FR
213.950000;FR
220.920000;BE
220.920000;BE
40.280000;FR
127.240000;FR
141.540000;FR
141.540000;FR
141.540000;FR
80.920000;FR
80.920000;FR
80.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
139.920000;FR
42.920000;FR
42.920000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
209.310000;FR
49.040000;FR
49.040000;FR
49.040000;FR
174.290000;FR
174.290000;FR
174.290000;FR
174.290000;FR
174.290000;FR
174.290000;FR
174.290000;FR
148.500000;FR
148.500000;FR
148.500000;FR
43.920000;FR
69.420000;FR
69.420000;FR
69.420000;FR
157.640000;FR
157.640000;FR
157.640000;FR
157.640000;FR
157.640000;FR
157.640000;FR
72.920000;FR
72.920000;FR
160.440000;FR
160.440000;FR
160.440000;FR
160.440000;FR
291.800000;FR
291.800000;FR
291.800000;FR
291.800000;FR
86.620000;FR
86.620000;FR
43.920000;FR
57.420000;FR
57.420000;FR
135.890000;FR
135.890000;FR
135.890000;FR
135.890000;FR
160.440000;FR
160.440000;FR
160.440000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
205.340000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
169.690000;FR
169.690000;FR
169.690000;FR
169.690000;FR
169.690000;FR
169.690000;FR
169.690000;FR
24.420000;FR
71.100000;FR
71.100000;FR
24.420000;FR
110.060000;BE
110.060000;BE
174.290000;BE
174.290000;BE
42.920000;FR
42.920000;FR
177.940000;FR
177.940000;FR
177.940000;FR
106.360000;FR
106.360000;FR
90.920000;BE
90.920000;BE
133.640000;FR
133.640000;FR
133.640000;FR
294.700000;FR
294.700000;FR
