Commande n°;Mode de paiement;Numéro de transport;Total payé réel;Total produits;Code pays de livraison
4547;Virement bancaire;;0.000000;25.000000;FR
4547;Virement bancaire;;0.000000;25.000000;FR
4547;Virement bancaire;;0.000000;25.000000;FR
4548;Virement bancaire;;0.000000;25.000000;FR
4548;Virement bancaire;;0.000000;25.000000;FR
4548;Virement bancaire;;0.000000;25.000000;FR
4549;Verifone e-commerce;GE519961321WW;76.620000;48.600000;IT
4549;Verifone e-commerce;GE519961321WW;76.620000;48.600000;IT
4549;Verifone e-commerce;GE519961321WW;76.620000;48.600000;IT
4550;Virement bancaire;81720947;33.720000;24.000000;BE
4550;Virement bancaire;81720947;33.720000;24.000000;BE
4551;Verifone e-commerce;81556371;41.240000;29.680000;BE
4552;Verifone e-commerce;81555838;30.720000;21.500000;FR
4552;Verifone e-commerce;81555838;30.720000;21.500000;FR
4553;Verifone e-commerce;81556676;24.820000;16.580000;BE
4554;Verifone e-commerce;81556094;39.620000;28.920000;FR
4554;Verifone e-commerce;81556094;39.620000;28.920000;FR
4554;Verifone e-commerce;81556094;39.620000;28.920000;FR
4555;Virement bancaire;82611514;22.720000;14.840000;BE
4556;Virement bancaire;;0.000000;24.000000;BE
4556;Virement bancaire;;0.000000;24.000000;BE
4557;Verifone e-commerce;XW194462656JB;91.080000;72.400000;FR
4557;Verifone e-commerce;XW194462656JB;91.080000;72.400000;FR
4557;Verifone e-commerce;XW194462656JB;91.080000;72.400000;FR
4557;Verifone e-commerce;XW194462656JB;91.080000;72.400000;FR
4558;Virement bancaire;;0.000000;16.580000;BE
4559;Virement bancaire;;36.700000;16.580000;BE
4560;Verifone e-commerce;82376215;24.820000;16.580000;FR
4561;Verifone e-commerce;82375391;32.280000;24.000000;BE
4561;Verifone e-commerce;82375391;32.280000;24.000000;BE
4562;Verifone e-commerce;82375877;24.820000;16.580000;BE
4563;Virement bancaire;;0.000000;22.260000;BE
4564;Verifone e-commerce;82376577;37.880000;28.920000;BE
4564;Verifone e-commerce;82376577;37.880000;28.920000;BE
4564;Verifone e-commerce;82376577;37.880000;28.920000;BE
4565;Verifone e-commerce;9A00562445639;74.890000;55.080000;FR
4566;Verifone e-commerce;82566215;19.920000;12.500000;FR
4567;Verifone e-commerce;9A00562249480;28.490000;16.580000;FR
4568;Verifone e-commerce;9A00562445929;96.090000;81.000000;FR
4569;Verifone e-commerce;9A00562252077;27.180000;14.760000;FR
4570;Verifone e-commerce;82392236;24.820000;16.580000;BE
4571;Verifone e-commerce;9A00562199761;28.090000;16.200000;FR
4572;Virement bancaire;82980758;31.620000;22.260000;BE
4573;Verifone e-commerce;82407152;43.920000;32.400000;FR
4573;Verifone e-commerce;82407152;43.920000;32.400000;FR
4574;Verifone e-commerce;82566523;18.220000;11.700000;FR
4575;Verifone e-commerce;82568797;24.820000;16.580000;FR
4576;Verifone e-commerce;CX157360176FR;106.800000;97.200000;ES
4577;Verifone e-commerce;82568141;52.920000;41.200000;FR
4577;Verifone e-commerce;82568141;52.920000;41.200000;FR
4577;Verifone e-commerce;82568141;52.920000;41.200000;FR
4578;Verifone e-commerce;CX157344743FR;36.700000;16.580000;BE
4579;Virement bancaire;;0.000000;4.920000;BE
4580;Virement bancaire;82980046;36.140000;28.920000;BE
4580;Virement bancaire;82980046;36.140000;28.920000;BE
4580;Virement bancaire;82980046;36.140000;28.920000;BE
4581;Verifone e-commerce;82786613;80.920000;63.340000;FR
4581;Verifone e-commerce;82786613;80.920000;63.340000;FR
4582;Verifone e-commerce;82647894;24.820000;16.580000;BE
4583;Verifone e-commerce;82981014;24.820000;16.580000;FR
4584;Verifone e-commerce;83054092;23.440000;16.200000;FR
4585;Verifone e-commerce;83054270;44.720000;33.160000;BE
4586;Verifone e-commerce;9A00562974061;28.490000;16.580000;FR
4587;Verifone e-commerce;83182379;24.820000;16.580000;FR
4588;Verifone e-commerce;;80.000000;81.000000;FR
4588;Verifone e-commerce;;80.000000;81.000000;FR
4588;Verifone e-commerce;;80.000000;81.000000;FR
4588;Verifone e-commerce;;80.000000;81.000000;FR
4589;Verifone e-commerce;83703902;19.720000;12.340000;FR
4589;Verifone e-commerce;83703902;19.720000;12.340000;FR
4590;Verifone e-commerce;83747551;24.420000;16.200000;FR
4591;Verifone e-commerce;9A00563363833;47.290000;33.160000;FR
4592;Verifone e-commerce;CX157382287FR;29.580000;16.580000;CH
4593;Verifone e-commerce;83745553;24.820000;16.580000;FR
4594;Verifone e-commerce;83745864;18.980000;12.340000;BE
4594;Verifone e-commerce;83745864;18.980000;12.340000;BE
4595;Verifone e-commerce;9A00563267162;184.120000;143.340000;FR
4595;Verifone e-commerce;9A00563267162;184.120000;143.340000;FR
4595;Verifone e-commerce;9A00563267162;184.120000;143.340000;FR
4596;Verifone e-commerce;83746117;24.820000;16.580000;FR
4597;Verifone e-commerce;XW196206219JB;100.720000;71.670000;FR
4597;Verifone e-commerce;XW196206219JB;100.720000;71.670000;FR
4598;Verifone e-commerce;83746375;24.820000;16.580000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4599;Verifone e-commerce;84260678;230.040000;187.000000;BE
4600;Verifone e-commerce;CX157371430FR;36.700000;16.580000;BE
4601;Verifone e-commerce;9V31853981161;361.380000;416.000000;FR
4602;Verifone e-commerce;XW196442606JB;44.580000;25.000000;FR
4602;Verifone e-commerce;XW196442606JB;44.580000;25.000000;FR
4603;Verifone e-commerce;84052513;57.420000;48.600000;FR
4603;Verifone e-commerce;84052513;57.420000;48.600000;FR
4604;Verifone e-commerce;84116882;24.420000;16.200000;FR
4605;Verifone e-commerce;XW198744003JB;813.180000;666.000000;FR
4605;Verifone e-commerce;XW198744003JB;813.180000;666.000000;FR
4606;Verifone e-commerce;XJ006013489JF;114.300000;105.300000;DE
