Commande n°;Total payé réel;Code pays de livraison
4429;135.090000;FR
4429;135.090000;FR
4429;135.090000;FR
4430;44.720000;FR
4431;84.520000;BE
4432;64.920000;BE
4432;64.920000;BE
4433;24.820000;BE
4434;80.920000;FR
4434;80.920000;FR
4434;80.920000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4435;198.290000;FR
4436;41.020000;FR
4436;41.020000;FR
4437;44.720000;BE
4438;44.720000;BE
4439;60.480000;FR
4439;60.480000;FR
4439;60.480000;FR
4440;38.580000;FR
4440;38.580000;FR
4441;33.720000;FR
4441;33.720000;FR
4442;109.140000;ES
4442;109.140000;ES
4442;109.140000;ES
4443;74.920000;FR
4444;80.080000;FR
4444;80.080000;FR
4445;32.280000;BE
4445;32.280000;BE
4446;56.600000;BE
4447;391.090000;FR
4448;32.580000;FR
4449;42.920000;FR
4449;42.920000;FR
4450;24.420000;FR
4451;80.580000;FR
4451;80.580000;FR
4451;80.580000;FR
4451;80.580000;FR
4452;186.700000;FR
4452;186.700000;FR
4452;186.700000;FR
4453;126.360000;FR
4453;126.360000;FR
4453;126.360000;FR
4453;126.360000;FR
4454;47.420000;FR
4454;47.420000;FR
4455;63.420000;FR
4455;63.420000;FR
4456;117.550000;RE
4456;117.550000;RE
4456;117.550000;RE
4457;24.420000;FR
4458;28.480000;FR
4459;43.280000;FR
4459;43.280000;FR
4459;43.280000;FR
4460;92.800000;ES
4460;92.800000;ES
4460;92.800000;ES
4460;92.800000;ES
4461;48.380000;FR
4462;36.700000;NL
4463;54.800000;ES
4463;54.800000;ES
4464;80.640000;FR
4464;80.640000;FR
4465;219.290000;FR
4465;219.290000;FR
4465;219.290000;FR
4465;219.290000;FR
4466;34.920000;FR
4466;34.920000;FR
4467;24.820000;BE
4468;142.920000;FR
4468;142.920000;FR
4468;142.920000;FR
4469;80.920000;FR
4469;80.920000;FR
4469;80.920000;FR
4470;46.580000;ES
4470;46.580000;ES
4471;24.820000;BE
4472;30.720000;FR
4472;30.720000;FR
4473;127.240000;FR
4473;127.240000;FR
4473;127.240000;FR
4474;96.360000;FR
4474;96.360000;FR
4475;184.900000;FR
4475;184.900000;FR
4475;184.900000;FR
4475;184.900000;FR
4476;100.430000;ES
4476;100.430000;ES
4477;24.820000;FR
4478;100.500000;US
4478;100.500000;US
4478;100.500000;US
4478;100.500000;US
4478;100.500000;US
4478;100.500000;US
4479;57.420000;FR
4481;34.060000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4482;161.050000;FR
4483;90.560000;FR
4483;90.560000;FR
4484;116.420000;FR
4484;116.420000;FR
4484;116.420000;FR
4484;116.420000;FR
4484;116.420000;FR
4484;116.420000;FR
4485;44.720000;FR
4486;43.920000;FR
4486;43.920000;FR
4487;138.440000;FR
4487;138.440000;FR
4487;138.440000;FR
4487;138.440000;FR
4487;138.440000;FR
4488;80.580000;FR
4488;80.580000;FR
4488;80.580000;FR
4488;80.580000;FR
4490;37.500000;BE
4490;37.500000;BE
4491;53.620000;BE
4491;53.620000;BE
4492;178.290000;FR
4492;178.290000;FR
4493;46.580000;FR
4493;46.580000;FR
4494;19.720000;BE
4494;19.720000;BE
4495;48.380000;FR
4496;24.820000;BE
4497;24.820000;FR
4498;24.820000;BE
4499;36.700000;BE
4500;30.720000;FR
4500;30.720000;FR
4501;24.420000;FR
4502;44.720000;FR
4503;24.420000;FR
4504;24.820000;BE
