Commande n°;Mode de paiement;Total payé réel;Code pays de livraison
4429;Verifone e-commerce;135.090000;FR
4429;Verifone e-commerce;135.090000;FR
4429;Verifone e-commerce;135.090000;FR
4430;Verifone e-commerce;44.720000;FR
4431;Virement bancaire;84.520000;BE
4432;Virement bancaire;64.920000;BE
4432;Virement bancaire;64.920000;BE
4433;Verifone e-commerce;24.820000;BE
4434;Verifone e-commerce;80.920000;FR
4434;Verifone e-commerce;80.920000;FR
4434;Verifone e-commerce;80.920000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4435;Verifone e-commerce;198.290000;FR
4436;Verifone e-commerce;41.020000;FR
4436;Verifone e-commerce;41.020000;FR
4437;Verifone e-commerce;44.720000;BE
4438;Virement bancaire;44.720000;BE
4439;Verifone e-commerce;60.480000;FR
4439;Verifone e-commerce;60.480000;FR
4439;Verifone e-commerce;60.480000;FR
4440;Verifone e-commerce;38.580000;FR
4440;Verifone e-commerce;38.580000;FR
4441;Verifone e-commerce;33.720000;FR
4441;Verifone e-commerce;33.720000;FR
4442;Verifone e-commerce;109.140000;ES
4442;Verifone e-commerce;109.140000;ES
4442;Verifone e-commerce;109.140000;ES
4443;Verifone e-commerce;74.920000;FR
4444;Verifone e-commerce;80.080000;FR
4444;Verifone e-commerce;80.080000;FR
4445;Virement bancaire;32.280000;BE
4445;Virement bancaire;32.280000;BE
4446;Verifone e-commerce;56.600000;BE
4447;Verifone e-commerce;391.090000;FR
4448;Verifone e-commerce;32.580000;FR
4449;Verifone e-commerce;42.920000;FR
4449;Verifone e-commerce;42.920000;FR
4450;Verifone e-commerce;24.420000;FR
4451;Verifone e-commerce;80.580000;FR
4451;Verifone e-commerce;80.580000;FR
4451;Verifone e-commerce;80.580000;FR
4451;Verifone e-commerce;80.580000;FR
4452;Verifone e-commerce;186.700000;FR
4452;Verifone e-commerce;186.700000;FR
4452;Verifone e-commerce;186.700000;FR
4453;Verifone e-commerce;126.360000;FR
