Commande n°;Total payé réel;Total transport;Ville de livraison;Code pays de livraison
1908;0.000000;10.320000;avignon;FR
1908;0.000000;10.320000;avignon;FR
1908;0.000000;10.320000;avignon;FR
2530;150.540000;15.000000;Sainte-Marie;RE
2530;150.540000;15.000000;Sainte-Marie;RE
2530;150.540000;15.000000;Sainte-Marie;RE
2533;0.000000;4.920000;pontarlier;FR
2534;0.000000;9.740000;pontarlier;FR
2534;0.000000;9.740000;pontarlier;FR
2535;0.000000;8.110000;pontarlier;FR
2535;0.000000;8.110000;pontarlier;FR
3160;78.170000;14.870000;Hennef;DE
3160;78.170000;14.870000;Hennef;DE
3160;78.170000;14.870000;Hennef;DE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3166;516.960000;20.000000;Saint Denis;RE
3177;148.540000;13.000000;Saxon;CH
3177;148.540000;13.000000;Saxon;CH
3177;148.540000;13.000000;Saxon;CH
3180;121.200000;15.000000;PITON ST LEU ;RE
3180;121.200000;15.000000;PITON ST LEU ;RE
3180;121.200000;15.000000;PITON ST LEU ;RE
3181;173.280000;15.680000;Dagenham;GB
3181;173.280000;15.680000;Dagenham;GB
3181;173.280000;15.680000;Dagenham;GB
3196;408.710000;18.710000;Skövde;SE
3196;408.710000;18.710000;Skövde;SE
3196;408.710000;18.710000;Skövde;SE
3202;150.540000;15.000000;SAINT DENIS;RE
3202;150.540000;15.000000;SAINT DENIS;RE
3202;150.540000;15.000000;SAINT DENIS;RE
3203;173.000000;9.000000;BRIEY;FR
3203;173.000000;9.000000;BRIEY;FR
3203;173.000000;9.000000;BRIEY;FR
3204;173.000000;9.000000;Lussac;FR
3204;173.000000;9.000000;Lussac;FR
3204;173.000000;9.000000;Lussac;FR
3205;173.000000;9.000000;La Riche;FR
3205;173.000000;9.000000;La Riche;FR
3205;173.000000;9.000000;La Riche;FR
3206;67.800000;7.800000;Gourin;FR
3207;179.680000;15.680000;LUTON;GB
3207;179.680000;15.680000;LUTON;GB
3207;179.680000;15.680000;LUTON;GB
3208;173.000000;9.000000;Honfleur;FR
3208;173.000000;9.000000;Honfleur;FR
3208;173.000000;9.000000;Honfleur;FR
3210;148.540000;13.000000;Purasca;CH
3210;148.540000;13.000000;Purasca;CH
3210;148.540000;13.000000;Purasca;CH
3211;82.200000;7.800000;LE BOURGET;FR
3213;408.000000;18.000000;MARSEILLE;FR
3213;408.000000;18.000000;MARSEILLE;FR
3213;408.000000;18.000000;MARSEILLE;FR
3218;21.800000;7.800000;MARSEILLE 12;FR
3219;150.540000;15.000000;Petite ile;RE
3219;150.540000;15.000000;Petite ile;RE
3219;150.540000;15.000000;Petite ile;RE
3220;189.960000;15.680000;FARNBOROUGH;GB
3220;189.960000;15.680000;FARNBOROUGH;GB
3220;189.960000;15.680000;FARNBOROUGH;GB
3220;189.960000;15.680000;FARNBOROUGH;GB
3221;120.600000;7.800000;lavau sur loire;FR
3222;588.000000;10.800000;GARGES-LES-GONESSE;FR
3222;588.000000;10.800000;GARGES-LES-GONESSE;FR
3223;5.920000;4.920000;pontarlier;FR
3224;5.920000;4.920000;pontarlier;FR
3225;278.740000;16.240000;Verona;IT
3225;278.740000;16.240000;Verona;IT
3225;278.740000;16.240000;Verona;IT
3226;142.270000;7.270000;Ban de laveline;FR
3227;105.490000;19.490000;schoten;BE
3227;105.490000;19.490000;schoten;BE
3228;139.410000;38.160000;saint Joseph;RE
3228;139.410000;38.160000;saint Joseph;RE
3228;139.410000;38.160000;saint Joseph;RE
3228;139.410000;38.160000;saint Joseph;RE
3228;139.410000;38.160000;saint Joseph;RE
3228;139.410000;38.160000;saint Joseph;RE
3229;162.710000;35.960000;London;GB
3229;162.710000;35.960000;London;GB
3229;162.710000;35.960000;London;GB
3230;90.920000;4.920000;TOMBLAINE;FR
3230;90.920000;4.920000;TOMBLAINE;FR
3231;178.250000;6.250000;Mireval;FR
3231;178.250000;6.250000;Mireval;FR
3231;178.250000;6.250000;Mireval;FR
3231;178.250000;6.250000;Mireval;FR
3232;42.270000;7.270000;CAEN;FR
3232;42.270000;7.270000;CAEN;FR
3233;284.000000;10.730000;elancourt;FR
3233;284.000000;10.730000;elancourt;FR
3233;284.000000;10.730000;elancourt;FR
3233;284.000000;10.730000;elancourt;FR
3233;284.000000;10.730000;elancourt;FR
3234;39.920000;4.920000;Paris;FR
3234;39.920000;4.920000;Paris;FR
3235;0.000000;23.330000;Chateauneuf du Pape;FR
3235;0.000000;23.330000;Chateauneuf du Pape;FR
3236;32.500000;23.330000;Verona;IT
3236;32.500000;23.330000;Verona;IT
3237;252.130000;10.730000;Pontarlier;FR
3237;252.130000;10.730000;Pontarlier;FR
3237;252.130000;10.730000;Pontarlier;FR
3237;252.130000;10.730000;Pontarlier;FR
3238;0.000000;5.590000;mions;FR
3239;0.000000;67.640000;KHAMIS MUSHAYT;SA
3240;0.000000;67.490000;KHAMIS MUSHAYT;SA
3241;43.540000;5.590000;mions;FR
3242;149.310000;11.710000;CAEN;FR
3242;149.310000;11.710000;CAEN;FR
3242;149.310000;11.710000;CAEN;FR
3243;96.020000;9.020000;Tourcoing;FR
3243;96.020000;9.020000;Tourcoing;FR
3243;96.020000;9.020000;Tourcoing;FR
3243;96.020000;9.020000;Tourcoing;FR
3244;140.270000;7.270000;MONTBELLET;FR
3244;140.270000;7.270000;MONTBELLET;FR
3245;227.150000;57.140000;Rivière - Rouge ;CA
3245;227.150000;57.140000;Rivière - Rouge ;CA
3246;227.140000;57.140000;Rivière - Rouge ;CA
3246;227.140000;57.140000;Rivière - Rouge ;CA
3247;61.760000;8.110000;Reims;FR
3247;61.760000;8.110000;Reims;FR
3248;112.920000;4.920000;CHATOU;FR
3249;92.590000;19.490000;Lille;BE
3249;92.590000;19.490000;Lille;BE
3250;178.330000;10.730000;La Mure;FR
3250;178.330000;10.730000;La Mure;FR
3250;178.330000;10.730000;La Mure;FR
3250;178.330000;10.730000;La Mure;FR
3250;178.330000;10.730000;La Mure;FR
3250;178.330000;10.730000;La Mure;FR
