Commande n°;Mode de paiement;Total payé réel;Total produits;Total transport;Code pays de livraison
4661;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4661;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4662;Verifone e-commerce;92.840000;72.570000;5.640000;BE
4662;Verifone e-commerce;92.840000;72.570000;5.640000;BE
4663;Verifone e-commerce;36.300000;16.200000;16.800000;ES
4664;Verifone e-commerce;41.860000;25.860000;16.000000;GP
4664;Verifone e-commerce;41.860000;25.860000;16.000000;GP
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4665;Verifone e-commerce;333.680000;256.010000;77.670000;MQ
4666;Verifone e-commerce;34.080000;16.200000;14.580000;FR
4667;Verifone e-commerce;36.300000;16.200000;16.800000;SE
4668;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4668;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4669;Verifone e-commerce;8.810000;0.000000;8.810000;FR
4670;Verifone e-commerce;24.420000;16.200000;4.920000;FR
4671;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4671;Verifone e-commerce;91.640000;71.670000;5.640000;FR
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4672;Verifone e-commerce;484.290000;482.980000;6.290000;BE
4673;Verifone e-commerce;42.920000;31.670000;4.920000;FR
4673;Verifone e-commerce;42.920000;31.670000;4.920000;FR
4674;Verifone e-commerce;124.390000;104.150000;5.640000;FR
4674;Verifone e-commerce;124.390000;104.150000;5.640000;FR
4675;Verifone e-commerce;274.390000;223.650000;6.290000;FR
4675;Verifone e-commerce;274.390000;223.650000;6.290000;FR
4675;Verifone e-commerce;274.390000;223.650000;6.290000;FR
4675;Verifone e-commerce;274.390000;223.650000;6.290000;FR
4675;Verifone e-commerce;274.390000;223.650000;6.290000;FR
4676;Verifone e-commerce;187.630000;145.980000;12.430000;FR
4676;Verifone e-commerce;187.630000;145.980000;12.430000;FR
4676;Verifone e-commerce;187.630000;145.980000;12.430000;FR
4677;Verifone e-commerce;122.400000;92.400000;30.000000;AU
4677;Verifone e-commerce;122.400000;92.400000;30.000000;AU
4677;Verifone e-commerce;122.400000;92.400000;30.000000;AU
4677;Verifone e-commerce;122.400000;92.400000;30.000000;AU
4677;Verifone e-commerce;122.400000;92.400000;30.000000;AU
