Commande n°;Product Ref;Product Name;Total produits;Date de facture
5618;IM04;Papillon Impulsion Violet;31.720000;2021-12-03 22:51:02
5618;LP03;Livret Papillon Perle nacrée;31.720000;2021-12-03 22:51:02
5619;NC10;Papillon New Concept Pastel;31.720000;2021-12-08 13:26:03
5619;LP03;Livret Papillon Perle nacrée;31.720000;2021-12-08 13:26:03
5620;NC07;Papillon New Concept Rouge;32.600000;2021-12-06 08:53:16
5620;NC04;Papillon New Concept Violet;32.600000;2021-12-06 08:53:16
5621;NS642;Nature Sauvage Argus Bleu Nacré;146.000000;2021-12-06 13:50:11
5622;NS613;Papillon Le Paon du Jour;16.300000;2021-12-07 15:53:53
5623;NC03;Papillon New Concept Jaune;109.950000;2021-12-08 21:20:50
5623;NC02;Papillon New Concept Rose;109.950000;2021-12-08 21:20:50
5623;NC01;Papillon New Concept Bleu;109.950000;2021-12-08 21:20:50
5623;NC05;Papillon New Concept Vert;109.950000;2021-12-08 21:20:50
5623;NC10;Papillon New Concept Pastel;109.950000;2021-12-08 21:20:50
5623;CP101;Carte Papillon PERLE NACRÉE (X10);109.950000;2021-12-08 21:20:50
5624;IM01;Papillon Impulsion Bleu;25.050000;2021-12-09 09:51:52
5624;CP101;Carte Papillon PERLE NACRÉE (X10);25.050000;2021-12-09 09:51:52
5625;CM00;Livret Coeur Magique LUXE;242.920000;2021-12-16 11:07:47
5625;NC10;Papillon New Concept Pastel;242.920000;2021-12-16 11:07:47
5625;FB04;Papillon Fleur Baroque Lavande Pastel;242.920000;2021-12-16 11:07:47
5626;PL00;Papillon Plume Blanc Perle;16.300000;2021-12-16 17:17:28
5627;IM04;Papillon Impulsion Violet;65.200000;2021-12-17 10:38:39
5627;IM05;Papillon Impulsion Vert;65.200000;2021-12-17 10:38:39
5628;NC01;Papillon New Concept Bleu;16.300000;2021-12-18 02:23:05
5629;CM00;Livret Coeur Magique LUXE;146.180000;2021-12-19 13:17:26
5629;NC06;Papillon New Concept Orange;146.180000;2021-12-19 13:17:26
5629;PL00;Papillon Plume Blanc Perle;146.180000;2021-12-19 13:17:26
5630;CM00;Livret Coeur Magique LUXE;84.190000;2021-12-20 10:37:12
5630;PM11;Papillon Métal OR;84.190000;2021-12-20 10:37:12
5631;NC02;Papillon New Concept Rose;32.600000;2021-12-20 11:51:23
5631;NC01;Papillon New Concept Bleu;32.600000;2021-12-20 11:51:23
5632;NS612;Papillon Leuconoe;65.200000;2021-12-21 12:10:21
5632;NS623;Papillon Le Grand Monarque;65.200000;2021-12-21 12:10:21
5632;NS613;Papillon Le Paon du Jour;65.200000;2021-12-21 12:10:21
5632;NS684;Papillon Blanc Pieride;65.200000;2021-12-21 12:10:21
5633;FB02V;Papillon Fleur Baroque Fushia;25.050000;2021-12-21 14:01:00
5633;CP201;Carte Papillon Argenté (X10);25.050000;2021-12-21 14:01:00
5634;CM00;Livret Coeur Magique LUXE;73.090000;2021-12-23 15:30:18
5634;IM02;Papillon Impulsion Rose;73.090000;2021-12-23 15:30:18
5634;IM05;Papillon Impulsion Vert;73.090000;2021-12-23 15:30:18
5635;NC11;Papillon New Concept Métal Or;77.070000;2021-12-25 22:28:16
5635;CP101;Carte Papillon Or (X10);77.070000;2021-12-25 22:28:16
5636;NC02;Papillon New Concept Rose;31.820000;2021-12-26 17:04:17
5636;NC04;Papillon New Concept Violet;31.820000;2021-12-26 17:04:17
5636;LP03;Livret Papillon Perle nacrée;31.820000;2021-12-26 17:04:17
5637;FB00;Papillon Fleur Baroque Blanc Perle;95.160000;2021-12-29 14:52:24
5637;LP00;Livret Papillon Blanc;95.160000;2021-12-29 14:52:24
5638;NC01;Papillon New Concept Bleu;25.050000;2021-12-29 18:42:39
5638;CP101;Carte Papillon Or (X10);25.050000;2021-12-29 18:42:39
