Commande n°;Product Ref;Product Name;Product Quantity;Total produits;Date de facture
5618;IM04;Papillon Impulsion Violet;10;31.720000;2021-12-03 22:51:02
5618;LP03;Livret Papillon Perle nacrée;1;31.720000;2021-12-03 22:51:02
5619;NC10;Papillon New Concept Pastel;10;31.720000;2021-12-08 13:26:03
5619;LP03;Livret Papillon Perle nacrée;1;31.720000;2021-12-08 13:26:03
5620;NC07;Papillon New Concept Rouge;10;32.600000;2021-12-06 08:53:16
5620;NC04;Papillon New Concept Violet;10;32.600000;2021-12-06 08:53:16
5621;NS642;Nature Sauvage Argus Bleu Nacré;100;146.000000;2021-12-06 13:50:11
5622;NS613;Papillon Le Paon du Jour;10;16.300000;2021-12-07 15:53:53
5623;NC03;Papillon New Concept Jaune;10;109.950000;2021-12-08 21:20:50
5623;NC02;Papillon New Concept Rose;10;109.950000;2021-12-08 21:20:50
5623;NC01;Papillon New Concept Bleu;10;109.950000;2021-12-08 21:20:50
5623;NC05;Papillon New Concept Vert;10;109.950000;2021-12-08 21:20:50
5623;NC10;Papillon New Concept Pastel;10;109.950000;2021-12-08 21:20:50
5623;CP101;Carte Papillon PERLE NACRÉE (X10);5;109.950000;2021-12-08 21:20:50
5624;IM01;Papillon Impulsion Bleu;10;25.050000;2021-12-09 09:51:52
5624;CP101;Carte Papillon PERLE NACRÉE (X10);1;25.050000;2021-12-09 09:51:52
5625;CM00;Livret Coeur Magique LUXE;4;242.920000;2021-12-16 11:07:47
5625;NC10;Papillon New Concept Pastel;60;242.920000;2021-12-16 11:07:47
5625;FB04;Papillon Fleur Baroque Lavande Pastel;60;242.920000;2021-12-16 11:07:47
5626;PL00;Papillon Plume Blanc Perle;10;16.300000;2021-12-16 17:17:28
5627;IM04;Papillon Impulsion Violet;20;65.200000;2021-12-17 10:38:39
5627;IM05;Papillon Impulsion Vert;20;65.200000;2021-12-17 10:38:39
5628;NC01;Papillon New Concept Bleu;10;16.300000;2021-12-18 02:23:05
5629;CM00;Livret Coeur Magique LUXE;2;146.180000;2021-12-19 13:17:26
5629;NC06;Papillon New Concept Orange;30;146.180000;2021-12-19 13:17:26
5629;PL00;Papillon Plume Blanc Perle;30;146.180000;2021-12-19 13:17:26
5630;CM00;Livret Coeur Magique LUXE;1;84.190000;2021-12-20 10:37:12
5630;PM11;Papillon Métal OR;30;84.190000;2021-12-20 10:37:12
5631;NC02;Papillon New Concept Rose;10;32.600000;2021-12-20 11:51:23
5631;NC01;Papillon New Concept Bleu;10;32.600000;2021-12-20 11:51:23
5632;NS612;Papillon Leuconoe;10;65.200000;2021-12-21 12:10:21
5632;NS623;Papillon Le Grand Monarque;10;65.200000;2021-12-21 12:10:21
5632;NS613;Papillon Le Paon du Jour;10;65.200000;2021-12-21 12:10:21
5632;NS684;Papillon Blanc Pieride;10;65.200000;2021-12-21 12:10:21
5633;FB02V;Papillon Fleur Baroque Fushia;10;25.050000;2021-12-21 14:01:00
5633;CP201;Carte Papillon Argenté (X10);1;25.050000;2021-12-21 14:01:00
5634;CM00;Livret Coeur Magique LUXE;1;73.090000;2021-12-23 15:30:18
5634;IM02;Papillon Impulsion Rose;15;73.090000;2021-12-23 15:30:18
5634;IM05;Papillon Impulsion Vert;15;73.090000;2021-12-23 15:30:18
5635;NC11;Papillon New Concept Métal Or;30;77.070000;2021-12-25 22:28:16
5635;CP101;Carte Papillon Or (X10);3;77.070000;2021-12-25 22:28:16
5636;NC02;Papillon New Concept Rose;10;31.820000;2021-12-26 17:04:17
5636;NC04;Papillon New Concept Violet;10;31.820000;2021-12-26 17:04:17
5636;LP03;Livret Papillon Perle nacrée;1;31.820000;2021-12-26 17:04:17
5637;FB00;Papillon Fleur Baroque Blanc Perle;30;95.160000;2021-12-29 14:52:24
5637;LP00;Livret Papillon Blanc;3;95.160000;2021-12-29 14:52:24
5638;NC01;Papillon New Concept Bleu;10;25.050000;2021-12-29 18:42:39
5638;CP101;Carte Papillon Or (X10);1;25.050000;2021-12-29 18:42:39
