Commande n°;Total payé réel;Total transport
4549;76.620000;24.120000
4549;76.620000;24.120000
4549;76.620000;24.120000
4550;33.720000;4.920000
4550;33.720000;4.920000
4551;41.240000;5.640000
4552;30.720000;4.920000
4552;30.720000;4.920000
4553;24.820000;4.920000
4554;39.620000;4.920000
4554;39.620000;4.920000
4554;39.620000;4.920000
4555;22.720000;4.920000
4557;91.080000;14.580000
4557;91.080000;14.580000
4557;91.080000;14.580000
4557;91.080000;14.580000
4559;36.700000;16.800000
4560;24.820000;4.920000
4561;32.280000;4.920000
4561;32.280000;4.920000
4562;24.820000;4.920000
4564;37.880000;4.920000
4564;37.880000;4.920000
4564;37.880000;4.920000
4565;74.890000;8.590000
4566;19.920000;4.920000
4567;28.490000;8.590000
4568;96.090000;8.590000
4569;27.180000;9.480000
4570;24.820000;4.920000
4571;28.090000;8.590000
4572;31.620000;4.920000
4573;43.920000;4.920000
4573;43.920000;4.920000
4574;18.220000;4.920000
4575;24.820000;4.920000
4576;106.800000;16.800000
4577;52.920000;4.920000
4577;52.920000;4.920000
4577;52.920000;4.920000
4578;36.700000;16.800000
4580;36.140000;4.920000
4580;36.140000;4.920000
4580;36.140000;4.920000
4581;80.920000;4.920000
4581;80.920000;4.920000
4582;24.820000;4.920000
4583;24.820000;4.920000
4584;23.440000;4.920000
4585;44.720000;4.920000
4586;28.490000;8.590000
4587;24.820000;4.920000
4588;80.000000;4.920000
4588;80.000000;4.920000
4588;80.000000;4.920000
4588;80.000000;4.920000
4589;19.720000;4.920000
4589;19.720000;4.920000
4590;24.420000;4.920000
4591;47.290000;9.480000
4592;29.580000;13.000000
4593;24.820000;4.920000
4594;18.980000;4.920000
4594;18.980000;4.920000
4595;184.120000;12.120000
4595;184.120000;12.120000
4595;184.120000;12.120000
4596;24.820000;4.920000
4597;100.720000;14.720000
4597;100.720000;14.720000
4598;24.820000;4.920000
4599;230.040000;5.640000
4599;230.040000;5.640000
4599;230.040000;5.640000
4599;230.040000;5.640000
4599;230.040000;5.640000
4599;230.040000;5.640000
4600;36.700000;16.800000
4601;361.380000;10.380000
4602;44.580000;14.580000
4602;44.580000;14.580000
4603;57.420000;4.920000
4603;57.420000;4.920000
4604;24.420000;4.920000
4605;813.180000;15.180000
4605;813.180000;15.180000
4606;114.300000;16.800000
4607;54.480000;9.480000
4608;62.420000;4.920000
4608;62.420000;4.920000
4608;62.420000;4.920000
4609;532.330000;72.730000
4609;532.330000;72.730000
4610;560.320000;13.120000
4610;560.320000;13.120000
4611;187.790000;6.290000
4611;187.790000;6.290000
4611;187.790000;6.290000
4612;57.980000;14.580000
4612;57.980000;14.580000
4613;504.320000;13.120000
4613;504.320000;13.120000
4614;1436.500000;16.500000
4614;1436.500000;16.500000
