Commande n°;Total payé réel;Total transport;Code pays de livraison
4549;76.620000;24.120000;IT
4549;76.620000;24.120000;IT
4549;76.620000;24.120000;IT
4550;33.720000;4.920000;BE
4550;33.720000;4.920000;BE
4551;41.240000;5.640000;BE
4552;30.720000;4.920000;FR
4552;30.720000;4.920000;FR
4553;24.820000;4.920000;BE
4554;39.620000;4.920000;FR
4554;39.620000;4.920000;FR
4554;39.620000;4.920000;FR
4555;22.720000;4.920000;BE
4557;91.080000;14.580000;FR
4557;91.080000;14.580000;FR
4557;91.080000;14.580000;FR
4557;91.080000;14.580000;FR
4559;36.700000;16.800000;BE
4560;24.820000;4.920000;FR
4561;32.280000;4.920000;BE
4561;32.280000;4.920000;BE
4562;24.820000;4.920000;BE
4564;37.880000;4.920000;BE
4564;37.880000;4.920000;BE
4564;37.880000;4.920000;BE
4565;74.890000;8.590000;FR
4566;19.920000;4.920000;FR
4567;28.490000;8.590000;FR
4568;96.090000;8.590000;FR
4569;27.180000;9.480000;FR
4570;24.820000;4.920000;BE
4571;28.090000;8.590000;FR
4572;31.620000;4.920000;BE
4573;43.920000;4.920000;FR
4573;43.920000;4.920000;FR
4574;18.220000;4.920000;FR
4575;24.820000;4.920000;FR
4576;106.800000;16.800000;ES
4577;52.920000;4.920000;FR
4577;52.920000;4.920000;FR
4577;52.920000;4.920000;FR
4578;36.700000;16.800000;BE
4580;36.140000;4.920000;BE
4580;36.140000;4.920000;BE
4580;36.140000;4.920000;BE
4581;80.920000;4.920000;FR
4581;80.920000;4.920000;FR
4582;24.820000;4.920000;BE
4583;24.820000;4.920000;FR
4584;23.440000;4.920000;FR
4585;44.720000;4.920000;BE
4586;28.490000;8.590000;FR
4587;24.820000;4.920000;FR
4588;80.000000;4.920000;FR
4588;80.000000;4.920000;FR
4588;80.000000;4.920000;FR
4588;80.000000;4.920000;FR
4589;19.720000;4.920000;FR
4589;19.720000;4.920000;FR
4590;24.420000;4.920000;FR
4591;47.290000;9.480000;FR
4592;29.580000;13.000000;CH
4593;24.820000;4.920000;FR
4594;18.980000;4.920000;BE
4594;18.980000;4.920000;BE
4595;184.120000;12.120000;FR
4595;184.120000;12.120000;FR
4595;184.120000;12.120000;FR
4596;24.820000;4.920000;FR
4597;100.720000;14.720000;FR
4597;100.720000;14.720000;FR
4598;24.820000;4.920000;BE
4599;230.040000;5.640000;BE
4599;230.040000;5.640000;BE
4599;230.040000;5.640000;BE
4599;230.040000;5.640000;BE
4599;230.040000;5.640000;BE
4599;230.040000;5.640000;BE
4600;36.700000;16.800000;BE
4601;361.380000;10.380000;FR
4602;44.580000;14.580000;FR
4602;44.580000;14.580000;FR
4603;57.420000;4.920000;FR
4603;57.420000;4.920000;FR
4604;24.420000;4.920000;FR
4605;813.180000;15.180000;FR
4605;813.180000;15.180000;FR
4606;114.300000;16.800000;DE
4607;54.480000;9.480000;FR
4608;62.420000;4.920000;FR
4608;62.420000;4.920000;FR
4608;62.420000;4.920000;FR
4609;532.330000;72.730000;GP
4609;532.330000;72.730000;GP
4610;560.320000;13.120000;FR
4610;560.320000;13.120000;FR
4611;187.790000;6.290000;FR
4611;187.790000;6.290000;FR
4611;187.790000;6.290000;FR
4612;57.980000;14.580000;FR
4612;57.980000;14.580000;FR
4613;504.320000;13.120000;FR
4613;504.320000;13.120000;FR
4614;1436.500000;16.500000;FR
4614;1436.500000;16.500000;FR
