Commande n°;Total payé réel;Total transport;Nom du transporteur;Pays de livraison;Ville de facturation;Code pays de livraison
5241;34.880000;4.780000;Mondial Relay;8;Dole;FR
5241;34.880000;4.780000;Mondial Relay;8;Dole;FR
5242;91.560000;5.260000;Mondial Relay;8;93130 - NOISY LE SEC;FR
5242;91.560000;5.260000;Mondial Relay;8;93130 - NOISY LE SEC;FR
5243;271.670000;14.990000;Chronopost;8;PARIS;FR
5243;271.670000;14.990000;Chronopost;8;PARIS;FR
5243;271.670000;14.990000;Chronopost;8;PARIS;FR
5244;133.660000;5.260000;Mondial Relay;8;Razac-sur-l'Isle;FR
5244;133.660000;5.260000;Mondial Relay;8;Razac-sur-l'Isle;FR
5244;133.660000;5.260000;Mondial Relay;8;Razac-sur-l'Isle;FR
5245;106.520000;20.220000;Colissimo Dom-Tom / International;3;St Georges sur Meuse ;BE
5245;106.520000;20.220000;Colissimo Dom-Tom / International;3;St Georges sur Meuse ;BE
5246;143.720000;45.790000;Colissimo Dom-Tom / International;141;Schoelcher ;MQ
5246;143.720000;45.790000;Colissimo Dom-Tom / International;141;Schoelcher ;MQ
5246;143.720000;45.790000;Colissimo Dom-Tom / International;141;Schoelcher ;MQ
5246;143.720000;45.790000;Colissimo Dom-Tom / International;141;Schoelcher ;MQ
5246;143.720000;45.790000;Colissimo Dom-Tom / International;141;Schoelcher ;MQ
5247;24.280000;4.780000;Mondial Relay;8;ARGELLIERS;FR
5248;133.660000;5.260000;Mondial Relay;8;GRUNDVILLER;FR
5248;133.660000;5.260000;Mondial Relay;8;GRUNDVILLER;FR
5249;153.790000;14.990000;TNT Express;8;CAUGE;FR
5249;153.790000;14.990000;TNT Express;8;CAUGE;FR
5249;153.790000;14.990000;TNT Express;8;CAUGE;FR
5250;0.000000;14.840000;TNT Express;8;St louis de montferrant;FR
5250;0.000000;14.840000;TNT Express;8;St louis de montferrant;FR
5251;34.340000;14.840000;TNT Express;8;La Rochelle;FR
5252;62.840000;14.840000;TNT Express;8;CONDE EN NORMANDIE;FR
5252;62.840000;14.840000;TNT Express;8;CONDE EN NORMANDIE;FR
5253;127.240000;5.260000;Mondial Relay;8;Douilly;FR
5253;127.240000;5.260000;Mondial Relay;8;Douilly;FR
5253;127.240000;5.260000;Mondial Relay;8;Douilly;FR
5254;91.040000;14.840000;TNT Express;8;Lisieux;FR
5254;91.040000;14.840000;TNT Express;8;Lisieux;FR
5254;91.040000;14.840000;TNT Express;8;Lisieux;FR
5255;101.140000;14.840000;TNT Express;8;Chabottes ;FR
5255;101.140000;14.840000;TNT Express;8;Chabottes ;FR
5256;24.280000;4.780000;Mondial Relay;8;Montauban;FR
5257;42.880000;4.780000;Mondial Relay;8;Orange;FR
5257;42.880000;4.780000;Mondial Relay;8;Orange;FR
5258;87.850000;16.850000;Colissimo Dom-Tom / International;3;Nieuwpoort;BE
5259;205.590000;6.590000;Mondial Relay;8;Saint herblain;FR
5259;205.590000;6.590000;Mondial Relay;8;Saint herblain;FR
5260;114.340000;14.840000;TNT Express;8;Paris;FR
5260;114.340000;14.840000;TNT Express;8;Paris;FR
5261;146.700000;45.790000;Colissimo Dom-Tom / International;98;Baie-mahault;GP
5261;146.700000;45.790000;Colissimo Dom-Tom / International;98;Baie-mahault;GP
5261;146.700000;45.790000;Colissimo Dom-Tom / International;98;Baie-mahault;GP
5261;146.700000;45.790000;Colissimo Dom-Tom / International;98;Baie-mahault;GP
5262;58.320000;20.220000;Colissimo Dom-Tom / International;1;Vaihingen an der Enz;DE
5262;58.320000;20.220000;Colissimo Dom-Tom / International;1;Vaihingen an der Enz;DE
5263;106.780000;20.480000;Colissimo;3;Nivelet (LEGLISE );BE
5263;106.780000;20.480000;Colissimo;3;Nivelet (LEGLISE );BE
5264;43.780000;4.780000;Mondial Relay;8;CHARBONNIERES LES VARENNES;FR
5264;43.780000;4.780000;Mondial Relay;8;CHARBONNIERES LES VARENNES;FR
5265;24.280000;4.780000;Mondial Relay;8;Caumont;FR
5266;211.140000;5.260000;Mondial Relay;8;azy sur marne;FR
5266;211.140000;5.260000;Mondial Relay;8;azy sur marne;FR
5266;211.140000;5.260000;Mondial Relay;8;azy sur marne;FR
5267;91.040000;14.840000;TNT Express;8;Livry-Gargan;FR
5267;91.040000;14.840000;TNT Express;8;Livry-Gargan;FR
5268;133.660000;5.260000;Mondial Relay;8;CARVIN;FR
5268;133.660000;5.260000;Mondial Relay;8;CARVIN;FR
5269;204.240000;60.300000;Colissimo Dom-Tom / International;176;entre-deux;RE
5269;204.240000;60.300000;Colissimo Dom-Tom / International;176;entre-deux;RE
5270;119.980000;4.780000;Mondial Relay;8;SORGUES;FR
5270;119.980000;4.780000;Mondial Relay;8;SORGUES;FR
5270;119.980000;4.780000;Mondial Relay;8;SORGUES;FR
5270;119.980000;4.780000;Mondial Relay;8;SORGUES;FR
5271;53.840000;14.840000;TNT Express;8;Livry-Gargan;FR
5271;53.840000;14.840000;TNT Express;8;Livry-Gargan;FR
5272;179.370000;6.770000;Mondial Relay;8;Pézenas;FR
5272;179.370000;6.770000;Mondial Relay;8;Pézenas;FR
5272;179.370000;6.770000;Mondial Relay;8;Pézenas;FR
5273;24.280000;4.780000;Mondial Relay;8;Allex;FR
5274;187.590000;14.990000;TNT Express;8;Belley;FR
5274;187.590000;14.990000;TNT Express;8;Belley;FR
5274;187.590000;14.990000;TNT Express;8;Belley;FR
5275;0.000000;0.000000;TNT Express;8;CERGY;FR
